performance_id,driver_id,trip_count,average_rating,cancellation_rate,complaints_count,created_at
2,2,207,3.97,0.05,9,09-05-2025 9.41
6,6,233,4.88,0.06,4,29-05-2025 8.41
11,11,954,4.14,0.08,17,21-10-2024 18.15
12,12,227,4.51,0.03,2,11-08-2024 10.19
13,13,579,4.33,0.05,9,26-11-2024 1.54
15,15,472,4.74,0.07,8,20-10-2024 16.55
17,17,410,4.72,0.09,0,07-09-2024 7.46
20,20,205,4.29,0.03,4,05-09-2024 9.53
21,21,333,4.7,0.09,7,25-04-2025 18.27
22,22,619,3.82,0.06,15,29-04-2025 22.22
25,25,718,4.98,0.14,4,02-11-2024 16.55
28,28,371,4.74,0.11,16,17-08-2024 14.20
30,30,879,4.48,0.05,7,11-07-2025 23.22
31,31,665,4.44,0.01,3,09-09-2024 17.13
33,33,202,4.75,0.06,6,30-09-2024 8.08
34,34,384,4.12,0.05,16,31-05-2025 15.04
37,37,453,4.54,0.05,4,01-09-2024 17.36
38,38,267,4.45,0.08,17,08-06-2025 8.31
42,42,462,4.88,0.07,7,15-07-2025 21.40
44,44,839,3.95,0.03,9,20-12-2024 22.18
45,45,231,4.87,0.12,12,24-12-2024 5.30
46,46,132,4.17,0,14,29-07-2025 6.25
47,47,186,4.45,0.13,5,21-08-2024 21.51
49,49,166,4.52,0.06,2,18-08-2024 13.51
50,50,856,3.91,0.1,15,19-09-2024 1.25
51,51,374,4.09,0.1,20,04-02-2025 16.08
53,53,921,4.5,0.13,1,07-04-2025 7.07
56,56,428,3.9,0.15,16,03-06-2025 15.37
58,58,302,3.91,0.08,12,14-03-2025 9.20
59,59,203,4.63,0.04,0,06-07-2025 13.52
60,60,934,4.82,0.12,13,07-10-2024 4.20
62,62,542,4.58,0.13,17,27-09-2024 11.40
64,64,856,3.85,0.03,5,09-12-2024 3.46
65,65,351,3.99,0.12,14,21-06-2025 15.27
66,66,680,4.49,0.13,16,02-06-2025 0.31
70,70,117,3.93,0.14,5,03-07-2025 10.35
72,72,384,4.76,0.07,11,17-05-2025 15.46
74,74,901,4.79,0.06,7,18-01-2025 13.43
78,78,632,4.6,0.11,0,12-01-2025 14.56
80,80,182,4.76,0.11,13,14-04-2025 23.29
82,82,967,4.28,0.03,3,18-11-2024 2.48
84,84,531,4.43,0.02,19,03-09-2024 12.32
85,85,908,4.16,0.12,19,25-02-2025 7.01
86,86,271,4.41,0.1,20,06-02-2025 14.48
97,97,635,4.04,0.09,20,18-07-2025 13.38
99,99,493,3.8,0.04,19,06-06-2025 21.45
100,100,946,4.65,0.14,4,15-11-2024 22.34
103,103,200,3.92,0.07,11,02-10-2024 20.32
104,104,577,3.81,0.14,3,27-03-2025 4.02
107,107,151,4.14,0.03,6,19-11-2024 6.39
110,110,722,4.58,0.1,9,08-05-2025 13.11
111,111,532,4.44,0.06,8,15-06-2025 8.42
112,112,454,4.68,0,15,08-06-2025 11.47
114,114,128,4.98,0.12,8,06-06-2025 2.05
118,118,413,4.53,0.09,4,06-03-2025 14.41
119,119,443,3.95,0.02,8,06-06-2025 21.23
120,120,988,4.96,0.06,0,15-06-2025 10.25
123,123,297,3.85,0.12,20,05-03-2025 20.50
124,124,367,4.95,0.14,10,26-06-2025 16.01
125,125,105,4.63,0.11,19,17-08-2024 6.29
130,130,332,3.91,0.06,8,30-12-2024 5.48
