payment_id,trip_id,amount,payment_method,payment_status,payment_date
1,1,429.66,PayPal,Completed,2025-07-18 14:32:07
2,2,567.9,PayPal,Completed,2025-04-18 01:05:24
3,3,244.67,PayPal,Completed,2024-06-14 03:19:15
4,4,538.77,UPI,Completed,2024-12-25 14:16:17
5,5,304.9,Paytm,Completed,2024-09-10 07:40:35
6,6,275.16,Paytm,Completed,2024-06-27 20:23:38
7,7,328.82,Cash,Pending,2024-02-21 12:28:11
8,8,782.35,Paytm,Completed,2025-04-29 04:24:56
9,9,609.54,Paytm,Completed,2024-12-13 00:49:48
10,10,326.92,UPI,Completed,2023-12-31 13:02:30
11,11,283.59,Paytm,Completed,2024-06-20 18:20:34
12,12,313.29,PayPal,Completed,2024-10-13 19:27:42
13,13,182.27,UPI,Completed,2023-11-01 23:46:52
14,14,102.44,PayPal,Completed,2023-11-27 23:22:33
15,15,734.74,PayPal,Completed,2024-09-09 03:59:27
16,16,209.69,PayPal,Completed,2023-09-26 19:46:33
17,17,533.09,UPI,Completed,2025-03-02 15:42:31
18,18,411.06,Paytm,Completed,2023-10-07 18:57:23
19,19,77.1,Cash,Completed,2024-08-14 21:59:48
20,20,297.22,PayPal,Completed,2024-01-21 05:04:42
21,21,289.88,PayPal,Completed,2025-01-07 17:28:21
22,22,80.97,Paytm,Pending,2023-10-03 17:17:14
23,23,604.78,Paytm,Completed,2025-06-29 21:15:26
24,24,199.45,UPI,Completed,2023-08-07 15:36:06
25,25,266.85,Credit Card,Pending,2024-04-08 15:16:37
26,26,661.16,PayPal,Completed,2023-12-11 00:27:17
27,27,207.48,Paytm,Completed,2025-01-16 00:51:41
28,28,299.39,UPI,Completed,2025-03-08 11:38:59
29,29,670.47,Cash,Completed,2025-03-11 16:06:24
30,30,64.46,UPI,Completed,2023-10-06 18:35:37
31,31,694.64,UPI,Completed,2024-04-17 09:45:06
32,32,185.48,PayPal,Completed,2024-06-21 18:55:16
33,33,682.84,PayPal,Completed,2023-12-25 09:03:35
34,34,726.26,PayPal,Completed,2024-08-26 13:10:53
35,35,523.55,Cash,Completed,2025-07-20 20:19:34
36,36,450.71,PayPal,Completed,2024-10-11 18:37:20
37,37,365.74,PayPal,Pending,2025-03-01 20:54:54
38,38,148.38,PayPal,Completed,2024-01-13 22:09:28
39,39,704.23,UPI,Pending,2023-09-29 13:38:21
40,40,625.81,Paytm,Completed,2025-04-11 21:16:23
41,41,637.56,PayPal,Pending,2023-11-11 03:46:02
42,42,290.37,Paytm,Completed,2024-01-28 20:15:33
43,43,121.73,Cash,Completed,2025-04-27 12:40:15
44,44,225.71,Credit Card,Completed,2024-03-06 16:50:09
45,45,770.9,Credit Card,Completed,2023-11-27 09:23:08
46,46,156.81,Cash,Completed,2024-11-24 16:56:00
47,47,729.12,Paytm,Pending,2025-01-16 21:18:15
48,48,305.33,UPI,Completed,2025-05-03 10:41:44
49,49,471.99,UPI,Completed,2024-12-12 01:03:25
50,50,221.35,Paytm,Completed,2024-11-20 06:14:10
51,51,367.95,Paytm,Completed,2023-12-11 14:14:32
52,52,623.33,UPI,Completed,2024-05-29 19:12:49
53,53,784.22,UPI,Pending,2024-02-19 09:13:12
54,54,489.06,Paytm,Completed,2025-06-12 01:05:15
55,55,516.7,UPI,Completed,2024-08-11 10:57:55
56,56,208.37,Credit Card,Completed,2024-05-30 01:36:49
57,57,406.17,UPI,Completed,2024-12-21 09:21:21
58,58,690.16,PayPal,Completed,2024-11-19 02:33:35
59,59,124.22,Credit Card,Completed,2024-06-22 11:24:15
60,60,491.68,Cash,Completed,2024-04-10 12:06:18
61,61,761.19,Paytm,Completed,2025-05-02 17:52:09
62,62,276.25,Cash,Completed,2023-09-14 07:38:28
63,63,736.9,UPI,Completed,2024-02-12 02:40:29
64,64,212.0,Cash,Completed,2023-08-15 08:52:57
65,65,697.16,UPI,Completed,2023-09-24 18:07:23
66,66,275.77,Paytm,Completed,2025-04-14 18:58:03
67,67,358.38,PayPal,Completed,2024-09-17 05:03:26
68,68,612.96,PayPal,Completed,2024-04-23 12:02:28
69,69,667.33,Paytm,Completed,2023-08-19 19:39:24
70,70,439.85,Credit Card,Completed,2024-07-20 11:26:56
71,71,74.01,Paytm,Completed,2024-12-12 14:41:06
72,72,274.21,UPI,Completed,2024-08-16 21:33:03
73,73,703.34,Paytm,Completed,2023-12-30 00:29:14
74,74,183.24,UPI,Completed,2023-08-29 05:23:00
75,75,720.04,Paytm,Completed,2024-11-29 08:58:48
76,76,218.68,Cash,Completed,2024-05-21 12:40:45
77,77,725.25,Paytm,Completed,2024-04-26 09:17:29
78,78,257.26,UPI,Completed,2025-01-05 08:41:31
79,79,676.92,PayPal,Completed,2024-11-21 12:26:12
80,80,99.38,UPI,Completed,2025-02-23 07:42:12
81,81,50.78,Credit Card,Completed,2024-08-22 03:35:47
82,82,279.56,PayPal,Completed,2024-07-19 04:52:57
83,83,458.82,PayPal,Completed,2024-12-05 03:06:47
84,84,603.34,Credit Card,Completed,2023-11-02 14:22:39
85,85,501.66,Cash,Completed,2024-02-27 02:38:13
86,86,425.91,Paytm,Completed,2024-01-18 02:45:40
87,87,413.08,Cash,Pending,2024-12-05 20:33:27
88,88,203.84,UPI,Completed,2025-07-27 23:05:14
89,89,153.59,Cash,Completed,2025-04-16 09:01:42
90,90,327.4,UPI,Completed,2024-12-18 12:04:11
91,91,159.12,Cash,Completed,2025-07-08 04:50:57
92,92,771.35,Credit Card,Completed,2025-01-24 21:24:21
93,93,394.87,Credit Card,Completed,2024-07-06 22:58:05
94,94,624.35,UPI,Completed,2024-10-17 01:05:45
95,95,589.79,Cash,Completed,2025-03-03 18:12:25
96,96,702.91,Paytm,Completed,2023-10-19 00:26:47
97,97,77.86,Cash,Completed,2025-07-21 19:38:16
98,98,319.93,UPI,Completed,2024-07-16 00:18:45
99,99,550.17,Credit Card,Completed,2023-09-26 16:02:30
100,100,165.48,Credit Card,Completed,2024-04-11 00:56:17
101,101,380.28,UPI,Completed,2024-11-20 05:44:50
102,102,106.43,UPI,Pending,2025-01-07 22:22:46
103,103,721.02,UPI,Completed,2023-10-11 02:22:09
104,104,155.21,Credit Card,Completed,2025-04-16 02:51:42
105,105,312.64,UPI,Completed,2023-11-14 17:18:17
106,106,155.92,Credit Card,Completed,2023-09-18 15:44:57
107,107,686.36,Cash,Completed,2024-03-11 18:23:34
108,108,398.81,Paytm,Completed,2024-05-25 23:33:34
109,109,484.21,Credit Card,Pending,2024-03-30 16:25:03
110,110,747.33,UPI,Completed,2024-03-21 15:13:35
111,111,331.03,Credit Card,Completed,2024-03-21 05:48:16
112,112,586.86,Paytm,Completed,2024-06-15 04:54:59
113,113,156.04,Credit Card,Completed,2023-11-13 16:23:38
114,114,57.86,Cash,Completed,2024-08-04 12:20:05
115,115,570.35,UPI,Completed,2024-02-26 03:45:43
116,116,333.0,Cash,Completed,2023-09-27 07:36:07
117,117,704.27,UPI,Completed,2024-01-17 10:36:50
118,118,745.96,Credit Card,Completed,2025-07-28 03:32:17
119,119,757.89,Paytm,Completed,2025-01-10 21:43:27
120,120,516.43,Credit Card,Completed,2024-11-18 14:33:31
121,121,753.32,UPI,Completed,2024-08-16 19:17:07
122,122,603.51,Cash,Completed,2025-06-16 23:23:11
123,123,538.09,Cash,Completed,2024-03-29 00:09:54
124,124,670.58,PayPal,Completed,2024-06-25 09:35:23
125,125,149.25,Paytm,Completed,2024-06-15 18:26:40
126,126,482.21,Credit Card,Completed,2024-11-24 11:54:20
127,127,319.38,PayPal,Completed,2024-10-19 07:46:39
128,128,90.03,PayPal,Completed,2025-04-06 23:43:36
129,129,751.81,UPI,Completed,2024-01-31 18:59:49
130,130,792.54,Cash,Completed,2024-03-28 15:27:03
131,131,279.54,Paytm,Completed,2025-02-10 04:01:09
132,132,488.31,Cash,Completed,2024-07-07 07:12:01
133,133,89.48,Paytm,Completed,2025-03-31 08:57:22
134,134,65.62,UPI,Completed,2024-03-25 21:42:38
135,135,209.57,Credit Card,Completed,2024-11-10 11:20:06
136,136,396.25,PayPal,Completed,2023-09-20 06:59:06
137,137,494.37,PayPal,Completed,2025-04-15 03:46:34
138,138,556.68,Credit Card,Completed,2024-05-07 23:40:30
139,139,621.44,PayPal,Completed,2025-01-20 15:29:33
140,140,509.05,Paytm,Completed,2024-07-29 06:16:00
141,141,205.46,Cash,Completed,2024-04-05 16:10:07
142,142,362.63,UPI,Completed,2023-12-10 03:10:15
143,143,73.53,Paytm,Completed,2023-08-07 15:06:27
144,144,674.13,PayPal,Completed,2024-07-22 23:46:35
145,145,469.86,UPI,Completed,2025-06-29 04:29:10
146,146,703.49,UPI,Completed,2023-12-17 11:17:55
147,147,119.49,UPI,Completed,2025-03-16 17:10:52
148,148,361.27,UPI,Completed,2024-04-02 06:02:48
149,149,632.96,UPI,Completed,2024-10-09 17:07:44
150,150,515.54,UPI,Completed,2024-12-22 04:08:59
151,151,126.71,PayPal,Completed,2024-06-23 08:15:16
152,152,122.52,Paytm,Completed,2024-01-07 20:18:42
153,153,613.9,PayPal,Completed,2023-10-27 13:39:08
154,154,661.42,Paytm,Completed,2024-12-31 22:31:21
155,155,783.52,Credit Card,Completed,2025-07-11 01:49:07
156,156,507.61,Credit Card,Completed,2023-09-27 08:13:39
157,157,140.09,Paytm,Pending,2024-02-06 23:33:27
158,158,280.58,PayPal,Completed,2024-03-04 23:01:46
159,159,310.41,Credit Card,Completed,2024-01-09 12:29:02
160,160,605.58,Paytm,Completed,2024-01-24 17:55:25
161,161,108.45,PayPal,Completed,2025-05-17 23:49:03
162,162,238.33,Credit Card,Completed,2024-12-13 15:21:30
163,163,732.59,UPI,Completed,2024-10-14 08:12:10
164,164,335.88,PayPal,Completed,2023-10-17 03:42:55
165,165,190.84,PayPal,Completed,2023-12-30 02:07:51
166,166,418.55,Credit Card,Completed,2023-12-02 05:41:24
167,167,126.25,PayPal,Completed,2023-08-14 05:44:54
168,168,414.75,Cash,Completed,2024-12-21 19:45:50
169,169,683.68,UPI,Completed,2023-10-27 07:11:58
170,170,447.1,PayPal,Pending,2024-07-04 18:53:43
171,171,746.04,UPI,Completed,2023-08-23 06:29:01
172,172,553.68,Cash,Completed,2024-08-09 10:32:44
173,173,223.08,Paytm,Completed,2024-05-28 16:30:25
174,174,205.05,PayPal,Completed,2023-11-27 12:02:49
175,175,717.95,Paytm,Completed,2024-05-30 11:38:37
176,176,618.22,Credit Card,Completed,2024-04-25 06:03:37
177,177,626.65,Paytm,Completed,2023-08-28 21:39:04
178,178,94.43,Credit Card,Completed,2024-07-02 01:05:37
179,179,575.49,Cash,Completed,2024-04-04 06:17:55
180,180,511.2,PayPal,Completed,2025-05-31 19:59:33
181,181,371.01,PayPal,Completed,2025-04-17 00:02:17
182,182,202.73,PayPal,Completed,2025-06-06 05:15:31
183,183,707.01,UPI,Completed,2025-07-31 21:23:01
184,184,497.37,Credit Card,Pending,2025-03-13 01:45:34
185,185,553.46,Paytm,Completed,2025-02-24 00:21:58
186,186,110.21,UPI,Completed,2023-08-27 13:04:48
187,187,530.75,PayPal,Pending,2024-01-19 04:29:32
188,188,615.89,Paytm,Completed,2025-06-27 18:54:02
189,189,569.85,Credit Card,Completed,2024-06-16 17:19:12
190,190,773.35,UPI,Completed,2024-09-28 15:24:47
191,191,592.82,Credit Card,Failed,2024-03-23 22:54:14
192,192,634.64,PayPal,Completed,2023-08-05 14:43:04
193,193,184.63,Paytm,Completed,2025-02-22 06:49:09
194,194,497.23,PayPal,Completed,2024-06-14 23:41:36
195,195,356.96,Cash,Completed,2025-04-15 17:22:49
196,196,202.18,Paytm,Completed,2024-11-05 17:44:38
197,197,420.31,Credit Card,Completed,2024-07-20 02:56:39
198,198,183.96,Credit Card,Completed,2023-12-08 09:43:47
199,199,360.89,PayPal,Completed,2023-12-05 23:43:28
200,200,383.32,Paytm,Completed,2024-05-08 06:05:23
201,201,153.23,Cash,Completed,2025-01-13 18:27:14
202,202,372.13,Cash,Completed,2024-07-29 20:09:31
203,203,783.66,Paytm,Completed,2023-12-28 19:27:09
204,204,478.57,Credit Card,Completed,2024-02-12 05:43:29
205,205,777.52,UPI,Completed,2024-12-15 05:23:16
206,206,266.8,PayPal,Pending,2023-09-27 04:14:53
207,207,299.93,Paytm,Completed,2023-11-11 12:36:33
208,208,426.22,Paytm,Pending,2023-10-28 17:47:45
209,209,735.33,UPI,Completed,2023-09-03 07:34:34
210,210,640.3,UPI,Completed,2024-07-20 13:17:38
211,211,379.21,Credit Card,Completed,2023-12-26 07:19:53
212,212,81.12,PayPal,Pending,2025-03-13 07:47:03
213,213,700.74,PayPal,Completed,2024-05-25 03:50:45
214,214,606.34,UPI,Completed,2025-03-25 00:30:47
215,215,617.45,Paytm,Completed,2025-04-23 05:43:49
216,216,648.63,Paytm,Completed,2025-05-08 07:18:03
217,217,578.03,Paytm,Pending,2024-03-30 07:39:46
218,218,104.12,Cash,Completed,2023-11-30 16:22:55
219,219,264.04,Cash,Completed,2024-08-20 00:25:43
220,220,765.77,PayPal,Failed,2023-12-28 10:30:30
221,221,613.6,UPI,Completed,2024-04-12 09:30:38
222,222,461.06,UPI,Completed,2023-09-24 00:15:13
223,223,634.51,Paytm,Completed,2024-06-10 11:24:18
224,224,505.55,UPI,Completed,2023-09-04 06:36:55
225,225,537.04,Cash,Completed,2025-03-26 07:06:14
