promotion_id,promo_code,discount_percentage,valid_from,valid_until,applies_to_trip_types
1,INDIA3430,10.57,2025-04-03 00:39:23,2025-06-14 00:39:23,"[""UberX"", ""UberPool""]"
2,INDIA4819,5.32,2025-03-11 14:15:05,2025-05-10 14:15:05,"[""UberBlack""]"
3,INDIA3147,10.37,2025-03-28 02:55:31,2025-04-14 02:55:31,"[""UberBlack""]"
4,INDIA1062,26.22,2025-05-22 07:33:05,2025-07-26 07:33:05,"[""UberPool""]"
5,INDIA3846,23.39,2024-09-30 06:32:55,2024-11-03 06:32:55,"[""UberX"", ""UberPool""]"
6,INDIA6597,16.64,2024-12-13 06:48:54,2025-01-19 06:48:54,"[""UberX"", ""UberPool""]"
7,INDIA6997,29.76,2024-12-21 15:39:17,2025-02-18 15:39:17,"[""UberPool""]"
8,INDIA9327,14.17,2024-11-26 07:46:03,2025-02-06 07:46:03,"[""UberX"", ""UberPool""]"
9,INDIA1838,12.23,2025-03-20 09:10:24,2025-04-20 09:10:24,"[""UberPool""]"
10,INDIA8767,16.6,2024-12-20 14:12:06,2025-01-17 14:12:06,"[""UberBlack""]"
11,INDIA4747,8.84,2025-03-14 10:39:51,2025-04-01 10:39:51,"[""UberX""]"
12,INDIA6812,14.06,2024-12-26 15:02:16,2025-01-21 15:02:16,"[""UberX"", ""UberPool""]"
13,INDIA2165,27.29,2025-07-07 01:07:18,2025-09-04 01:07:18,"[""UberX""]"
14,INDIA6752,13.07,2024-10-12 04:01:31,2024-12-25 04:01:31,"[""UberPool""]"
15,INDIA8024,10.49,2025-03-11 01:46:36,2025-03-21 01:46:36,"[""UberX""]"
16,INDIA3715,14.04,2025-06-24 04:21:40,2025-07-29 04:21:40,"[""UberX"", ""UberPool""]"
17,INDIA7276,20.92,2025-04-01 08:34:51,2025-06-01 08:34:51,"[""UberX""]"
18,INDIA5988,14.47,2025-06-10 03:34:11,2025-08-11 03:34:11,"[""UberX""]"
19,INDIA7022,13.14,2024-10-04 10:25:31,2024-11-10 10:25:31,"[""UberX""]"
20,INDIA7248,18.13,2024-09-09 09:24:32,2024-10-11 09:24:32,"[""UberX""]"
21,INDIA3777,6.46,2025-01-18 17:33:42,2025-03-21 17:33:42,"[""UberPool""]"
22,INDIA3728,22.61,2025-05-13 08:48:58,2025-08-02 08:48:58,"[""UberPool""]"
23,INDIA7025,16.83,2025-02-10 20:58:45,2025-02-21 20:58:45,"[""UberX"", ""UberPool""]"
24,INDIA1825,20.18,2024-09-26 04:56:09,2024-10-14 04:56:09,"[""UberX""]"
25,INDIA1357,5.26,2024-09-24 09:15:10,2024-12-17 09:15:10,"[""UberPool""]"
26,INDIA9404,14.64,2025-07-12 13:06:38,2025-07-27 13:06:38,"[""UberBlack""]"
27,INDIA6389,28.16,2025-05-04 20:08:28,2025-06-17 20:08:28,"[""UberX"", ""UberPool""]"
28,INDIA5749,6.14,2025-05-20 09:35:41,2025-06-04 09:35:41,"[""UberBlack""]"
29,INDIA6941,7.87,2024-11-08 08:18:23,2024-11-30 08:18:23,"[""UberBlack""]"
30,INDIA1512,10.96,2024-11-30 19:55:05,2025-02-17 19:55:05,"[""UberBlack""]"
31,INDIA4607,17.62,2024-08-16 20:48:34,2024-10-11 20:48:34,"[""UberPool""]"
32,INDIA8846,12.23,2024-10-12 23:21:40,2024-11-20 23:21:40,"[""UberBlack""]"
33,INDIA3905,11.74,2025-06-09 19:20:26,2025-08-28 19:20:26,"[""UberX"", ""UberPool""]"
34,INDIA4867,27.74,2025-06-14 13:05:05,2025-07-26 13:05:05,"[""UberX""]"
35,INDIA3359,9.96,2025-03-05 12:04:29,2025-05-22 12:04:29,"[""UberX"", ""UberPool""]"
36,INDIA7430,15.58,2025-01-29 19:57:26,2025-02-14 19:57:26,"[""UberBlack""]"
37,INDIA3346,16.79,2025-03-21 14:39:55,2025-05-08 14:39:55,"[""UberBlack""]"
38,INDIA4941,20.92,2025-04-17 13:37:34,2025-05-07 13:37:34,"[""UberBlack""]"
39,INDIA4458,16.67,2024-12-22 20:21:34,2024-12-31 20:21:34,"[""UberBlack""]"
40,INDIA9785,20.03,2025-01-29 18:38:30,2025-02-26 18:38:30,"[""UberPool""]"
41,INDIA2014,26.98,2024-10-17 17:26:40,2024-11-13 17:26:40,"[""UberX""]"
42,INDIA8216,26.08,2025-01-16 20:06:59,2025-03-01 20:06:59,"[""UberX"", ""UberPool""]"
43,INDIA7009,27.7,2025-07-21 03:16:03,2025-07-29 03:16:03,"[""UberX"", ""UberPool""]"
44,INDIA5101,25.42,2024-11-05 16:20:43,2024-12-13 16:20:43,"[""UberX"", ""UberPool""]"
45,INDIA5709,6.65,2025-06-10 16:06:41,2025-08-01 16:06:41,"[""UberPool""]"
46,INDIA7031,5.48,2025-04-10 03:55:51,2025-04-20 03:55:51,"[""UberX"", ""UberPool""]"
47,INDIA8638,19.16,2025-06-24 19:22:11,2025-07-08 19:22:11,"[""UberX""]"
48,INDIA1794,25.53,2025-01-28 23:09:37,2025-04-22 23:09:37,"[""UberX""]"
49,INDIA3633,20.68,2024-12-04 09:42:35,2025-01-15 09:42:35,"[""UberX"", ""UberPool""]"
50,INDIA2121,15.37,2025-03-27 17:01:40,2025-06-23 17:01:40,"[""UberX""]"
51,INDIA6921,7.14,2025-03-14 06:26:16,2025-05-23 06:26:16,"[""UberX""]"
52,INDIA6197,26.9,2024-12-08 21:49:07,2024-12-16 21:49:07,"[""UberX"", ""UberPool""]"
53,INDIA3649,21.7,2024-10-29 09:39:10,2025-01-19 09:39:10,"[""UberX"", ""UberPool""]"
54,INDIA7401,26.42,2024-09-25 17:05:22,2024-11-24 17:05:22,"[""UberX"", ""UberPool""]"
55,INDIA3855,7.52,2024-11-17 18:19:14,2024-12-13 18:19:14,"[""UberBlack""]"
56,INDIA6168,10.89,2025-05-23 23:25:57,2025-07-24 23:25:57,"[""UberX""]"
57,INDIA6214,17.1,2025-05-19 16:10:15,2025-08-16 16:10:15,"[""UberX"", ""UberPool""]"
58,INDIA2669,19.21,2024-12-31 09:18:56,2025-02-09 09:18:56,"[""UberX""]"
59,INDIA2356,21.18,2025-01-01 02:41:28,2025-01-16 02:41:28,"[""UberPool""]"
60,INDIA2224,19.04,2025-03-07 00:25:27,2025-04-18 00:25:27,"[""UberX"", ""UberPool""]"
61,INDIA3800,7.65,2025-03-21 16:47:55,2025-05-16 16:47:55,"[""UberX"", ""UberPool""]"
62,INDIA8043,24.79,2025-06-10 05:45:44,2025-08-12 05:45:44,"[""UberBlack""]"
63,INDIA2961,24.18,2025-01-07 23:48:51,2025-02-24 23:48:51,"[""UberX""]"
64,INDIA8408,7.74,2025-02-12 15:24:27,2025-05-06 15:24:27,"[""UberPool""]"
65,INDIA4135,22.34,2024-12-30 17:56:03,2025-02-02 17:56:03,"[""UberBlack""]"
66,INDIA1858,16.08,2025-05-01 19:20:45,2025-06-05 19:20:45,"[""UberX"", ""UberPool""]"
67,INDIA6377,28.92,2025-05-26 21:17:50,2025-07-30 21:17:50,"[""UberX""]"
68,INDIA3124,11.77,2024-09-02 01:31:16,2024-09-09 01:31:16,"[""UberX""]"
69,INDIA2914,15.52,2025-07-08 03:43:38,2025-08-05 03:43:38,"[""UberBlack""]"
70,INDIA3649,19.75,2024-10-27 20:12:44,2024-12-24 20:12:44,"[""UberX"", ""UberPool""]"
71,INDIA5665,9.55,2025-01-09 18:17:30,2025-04-03 18:17:30,"[""UberX"", ""UberPool""]"
72,INDIA3869,21.16,2024-09-06 02:25:53,2024-10-29 02:25:53,"[""UberX"", ""UberPool""]"
73,INDIA1144,13.43,2025-01-29 10:19:55,2025-02-09 10:19:55,"[""UberX""]"
74,INDIA8236,24.46,2024-10-31 19:57:59,2025-01-08 19:57:59,"[""UberX""]"
75,INDIA4364,5.15,2025-01-09 18:08:25,2025-02-21 18:08:25,"[""UberPool""]"
76,INDIA3180,27.38,2025-05-29 13:49:48,2025-07-15 13:49:48,"[""UberBlack""]"
77,INDIA4365,21.38,2025-06-19 20:19:22,2025-09-05 20:19:22,"[""UberX""]"
78,INDIA5133,23.2,2025-03-12 18:18:41,2025-04-05 18:18:41,"[""UberX""]"
79,INDIA9619,18.96,2025-05-07 20:14:38,2025-07-21 20:14:38,"[""UberBlack""]"
80,INDIA4936,25.45,2025-01-10 11:21:08,2025-02-03 11:21:08,"[""UberPool""]"
81,INDIA1875,20.54,2024-12-13 17:25:06,2025-03-05 17:25:06,"[""UberPool""]"
82,INDIA4997,18.09,2024-11-11 19:45:07,2024-12-15 19:45:07,"[""UberX"", ""UberPool""]"
83,INDIA6167,14.53,2024-08-26 05:52:19,2024-10-15 05:52:19,"[""UberBlack""]"
84,INDIA3572,13.59,2025-04-06 11:35:14,2025-04-17 11:35:14,"[""UberPool""]"
85,INDIA6650,26.21,2024-10-21 17:53:07,2024-11-23 17:53:07,"[""UberX""]"
86,INDIA3008,25.76,2024-12-07 18:01:04,2024-12-22 18:01:04,"[""UberX"", ""UberPool""]"
87,INDIA7062,14.62,2025-01-18 21:59:27,2025-02-07 21:59:27,"[""UberX"", ""UberPool""]"
88,INDIA4021,8.95,2025-05-28 01:16:40,2025-07-05 01:16:40,"[""UberPool""]"
89,INDIA9961,10.23,2025-07-15 19:58:09,2025-10-08 19:58:09,"[""UberPool""]"
90,INDIA8163,21.91,2025-07-03 08:50:37,2025-09-21 08:50:37,"[""UberPool""]"
91,INDIA2288,25.92,2025-02-20 09:03:30,2025-03-08 09:03:30,"[""UberX"", ""UberPool""]"
92,INDIA5624,29.95,2025-01-29 19:52:45,2025-02-26 19:52:45,"[""UberPool""]"
93,INDIA3362,11.93,2025-05-23 08:44:16,2025-07-07 08:44:16,"[""UberX"", ""UberPool""]"
94,INDIA9809,10.04,2024-11-28 23:03:01,2025-02-05 23:03:01,"[""UberBlack""]"
95,INDIA2528,18.16,2025-05-10 04:54:45,2025-07-16 04:54:45,"[""UberPool""]"
96,INDIA4041,14.44,2024-09-25 20:11:19,2024-12-03 20:11:19,"[""UberX""]"
97,INDIA2254,22.68,2025-04-01 04:15:47,2025-05-11 04:15:47,"[""UberBlack""]"
98,INDIA4995,18.34,2024-09-03 21:54:36,2024-10-19 21:54:36,"[""UberX"", ""UberPool""]"
99,INDIA8360,11.43,2024-09-27 23:00:27,2024-11-14 23:00:27,"[""UberX"", ""UberPool""]"
100,INDIA3410,16.82,2025-03-18 16:41:20,2025-06-02 16:41:20,"[""UberX""]"
