surge_id,start_time,end_time,surge_multiplier,location_id,created_at
1,2025-07-21 13:19:48,2025-07-21 14:19:48,1.35,7767,2025-07-21 13:40:43
2,2025-01-05 00:00:10,2025-01-05 04:00:10,2.12,1154,2025-01-05 01:54:07
3,2024-09-18 09:42:10,2024-09-18 13:42:10,2.22,7256,2024-09-18 13:25:10
4,2025-07-19 18:35:35,2025-07-19 22:35:35,2.41,4971,2025-07-19 19:38:45
5,2024-11-06 15:01:11,2024-11-06 19:01:11,1.31,4698,2024-11-06 18:22:45
6,2025-03-15 23:34:06,2025-03-16 01:34:06,2.44,889,2025-03-15 23:52:31
7,2025-06-04 18:27:56,2025-06-04 19:27:56,1.5,3989,2025-06-04 18:56:28
8,2024-10-01 20:46:52,2024-10-02 01:46:52,1.68,352,2024-10-02 01:32:21
9,2025-03-24 23:39:02,2025-03-25 00:39:02,1.92,1976,2025-03-24 23:47:21
10,2025-05-09 16:38:57,2025-05-09 20:38:57,1.55,9404,2025-05-09 19:43:52
11,2025-02-22 09:08:29,2025-02-22 13:08:29,2.83,969,2025-02-22 10:02:02
12,2025-05-16 20:15:06,2025-05-17 00:15:06,1.44,7410,2025-05-16 22:25:32
13,2025-07-03 12:36:43,2025-07-03 15:36:43,2.09,3469,2025-07-03 15:03:57
14,2025-05-14 09:37:03,2025-05-14 13:37:03,2.36,8264,2025-05-14 12:26:34
15,2025-05-08 23:30:21,2025-05-09 00:30:21,2.63,9392,2025-05-08 23:53:17
16,2024-10-16 13:40:25,2024-10-16 17:40:25,2.23,8869,2024-10-16 15:24:11
17,2024-11-21 15:34:25,2024-11-21 17:34:25,2.88,7462,2024-11-21 16:58:16
18,2024-09-25 16:13:35,2024-09-25 22:13:35,1.6,3825,2024-09-25 22:05:54
19,2025-05-09 03:47:40,2025-05-09 04:47:40,2.91,1408,2025-05-09 04:45:03
20,2025-05-15 01:18:52,2025-05-15 07:18:52,1.87,8520,2025-05-15 04:39:37
21,2025-04-21 05:57:13,2025-04-21 07:57:13,1.56,1030,2025-04-21 06:31:37
22,2024-12-26 03:34:22,2024-12-26 04:34:22,1.54,871,2024-12-26 04:24:52
23,2024-10-14 00:39:22,2024-10-14 01:39:22,1.78,7069,2024-10-14 01:27:19
24,2024-12-21 03:22:13,2024-12-21 04:22:13,2.06,5374,2024-12-21 03:31:18
25,2024-11-11 12:31:56,2024-11-11 16:31:56,2.74,1496,2024-11-11 12:51:48
26,2024-12-31 02:39:16,2024-12-31 07:39:16,2.52,9849,2024-12-31 03:20:56
27,2025-01-02 02:54:49,2025-01-02 07:54:49,2.37,1176,2025-01-02 06:26:01
28,2025-05-26 17:40:41,2025-05-26 18:40:41,2.67,396,2025-05-26 17:57:16
29,2025-02-15 19:40:55,2025-02-16 01:40:55,2.85,6665,2025-02-16 00:06:54
30,2024-10-15 05:47:32,2024-10-15 06:47:32,1.29,6223,2024-10-15 06:41:06
31,2024-11-04 02:32:51,2024-11-04 04:32:51,1.47,8527,2024-11-04 03:50:35
32,2024-12-22 06:18:16,2024-12-22 07:18:16,2.01,8635,2024-12-22 07:12:07
33,2024-09-07 02:21:10,2024-09-07 04:21:10,1.8,5550,2024-09-07 03:27:13
34,2025-04-29 12:31:03,2025-04-29 17:31:03,1.48,7740,2025-04-29 14:58:08
35,2024-12-06 13:52:10,2024-12-06 19:52:10,1.3,1273,2024-12-06 19:34:09
36,2024-08-31 09:35:13,2024-08-31 12:35:13,1.87,6975,2024-08-31 12:00:17
37,2024-11-16 00:57:17,2024-11-16 05:57:17,2.94,1767,2024-11-16 05:46:07
38,2025-07-10 18:16:02,2025-07-10 21:16:02,1.61,3084,2025-07-10 18:37:06
39,2024-11-04 03:15:22,2024-11-04 04:15:22,2.74,7665,2024-11-04 03:25:22
40,2025-05-20 21:03:46,2025-05-20 23:03:46,2.3,83,2025-05-20 22:35:43
41,2025-01-19 22:05:43,2025-01-20 00:05:43,2.07,7336,2025-01-19 23:08:56
42,2025-04-12 22:06:07,2025-04-13 00:06:07,1.79,8949,2025-04-12 22:33:50
43,2024-10-25 00:44:28,2024-10-25 06:44:28,2.03,5555,2024-10-25 03:01:31
44,2024-11-24 04:47:01,2024-11-24 08:47:01,1.21,2140,2024-11-24 08:42:07
45,2024-09-22 07:25:09,2024-09-22 12:25:09,2.43,6102,2024-09-22 11:14:54
46,2025-03-03 02:06:37,2025-03-03 08:06:37,1.56,8004,2025-03-03 04:00:04
47,2025-01-24 00:14:13,2025-01-24 04:14:13,1.95,8443,2025-01-24 02:46:50
48,2025-06-26 03:36:44,2025-06-26 08:36:44,1.87,9577,2025-06-26 04:56:02
49,2025-01-05 01:29:25,2025-01-05 02:29:25,2.87,5318,2025-01-05 01:54:04
50,2024-11-24 07:59:53,2024-11-24 13:59:53,2.06,818,2024-11-24 13:28:40
51,2024-12-23 22:10:48,2024-12-24 00:10:48,1.49,7292,2024-12-23 22:32:28
52,2025-02-11 10:02:58,2025-02-11 11:02:58,1.41,944,2025-02-11 10:57:13
53,2025-03-19 13:50:47,2025-03-19 18:50:47,1.53,4390,2025-03-19 18:15:56
54,2024-09-17 14:51:24,2024-09-17 15:51:24,1.48,9940,2024-09-17 15:38:00
55,2025-04-09 13:03:14,2025-04-09 17:03:14,2.0,1285,2025-04-09 16:22:58
56,2025-06-07 04:35:20,2025-06-07 08:35:20,1.21,2918,2025-06-07 05:30:34
57,2024-10-11 03:45:31,2024-10-11 04:45:31,1.31,1949,2024-10-11 03:47:35
58,2025-04-28 08:05:28,2025-04-28 13:05:28,2.88,4426,2025-04-28 09:55:53
59,2024-08-31 06:18:27,2024-08-31 09:18:27,1.73,1237,2024-08-31 07:19:32
60,2025-07-22 19:33:48,2025-07-22 22:33:48,1.57,7236,2025-07-22 20:37:24
61,2024-09-17 04:39:39,2024-09-17 10:39:39,1.35,3167,2024-09-17 04:39:46
62,2024-11-08 04:37:38,2024-11-08 05:37:38,1.31,2889,2024-11-08 04:52:01
63,2025-01-27 10:46:31,2025-01-27 16:46:31,2.23,194,2025-01-27 13:01:33
64,2025-05-12 15:51:47,2025-05-12 21:51:47,1.59,4438,2025-05-12 17:58:38
65,2025-05-30 21:44:19,2025-05-30 23:44:19,2.39,5922,2025-05-30 22:36:50
