trip_id,user_id,driver_id,start_location_id,end_location_id,start_time,end_time,trip_type,fare,distance_km,rating,status
1,6334,4204,1836,4609,2025-07-18 14:15:07,2025-07-18 14:32:07,UberX,429.66,16.84,4.59,Cancelled
2,6855,995,8147,4923,2025-04-18 00:52:24,2025-04-18 01:05:24,UberBlack,567.9,12.31,3.97,Completed
3,5869,821,8722,4660,2024-06-14 02:44:15,2024-06-14 03:19:15,UberBlack,244.67,16.02,3.94,Cancelled
4,8369,2139,9658,7936,2024-12-25 14:01:17,2024-12-25 14:16:17,UberPool,538.77,16.52,4.19,Completed
5,8940,9653,2925,3067,2024-09-10 07:17:35,2024-09-10 07:40:35,UberBlack,304.9,6.61,4.59,Cancelled
6,2061,2455,350,155,2024-06-27 20:11:38,2024-06-27 20:23:38,UberBlack,275.16,12.61,3.68,Completed
7,7392,7666,8631,5272,2024-02-21 12:06:11,2024-02-21 12:28:11,UberBlack,328.82,15.04,4.47,Completed
8,9005,7126,6231,6297,2025-04-29 04:11:56,2025-04-29 04:24:56,UberPool,782.35,12.3,4.77,Completed
9,5565,9247,3953,138,2024-12-13 00:42:48,2024-12-13 00:49:48,UberBlack,609.54,18.0,4.48,Completed
10,9762,3222,5484,3004,2023-12-31 12:17:30,2023-12-31 13:02:30,UberBlack,326.92,4.92,4.76,Completed
11,1790,3586,2879,5879,2024-06-20 18:05:34,2024-06-20 18:20:34,UberBlack,283.59,14.67,4.23,Completed
12,1602,3626,1917,1025,2024-10-13 18:54:42,2024-10-13 19:27:42,UberPool,313.29,5.51,3.81,Completed
13,2356,6635,4817,9227,2023-11-01 23:01:52,2023-11-01 23:46:52,UberPool,182.27,2.64,4.14,Completed
14,9104,3614,8118,8973,2023-11-27 22:47:33,2023-11-27 23:22:33,UberX,102.44,5.39,4.93,Cancelled
15,5745,3542,8414,9577,2024-09-09 03:49:27,2024-09-09 03:59:27,UberPool,734.74,15.89,3.92,Cancelled
16,5450,2867,7098,2606,2023-09-26 19:11:33,2023-09-26 19:46:33,UberPool,209.69,15.93,3.8,Completed
17,7134,1984,1351,2527,2025-03-02 15:37:31,2025-03-02 15:42:31,UberBlack,533.09,3.68,4.32,Completed
18,9193,7704,4805,2510,2023-10-07 18:22:23,2023-10-07 18:57:23,UberX,411.06,6.98,4.1,Completed
19,779,2200,9666,7203,2024-08-14 21:32:48,2024-08-14 21:59:48,UberPool,77.1,8.13,4.39,Completed
20,9006,2049,5141,6485,2024-01-21 04:26:42,2024-01-21 05:04:42,UberPool,297.22,6.53,4.13,Completed
21,3341,3857,1628,1373,2025-01-07 17:18:21,2025-01-07 17:28:21,UberBlack,289.88,14.44,3.98,No Show
22,6431,2801,2051,1629,2023-10-03 16:39:14,2023-10-03 17:17:14,UberBlack,80.97,14.17,4.68,Completed
23,4113,6599,2782,3783,2025-06-29 20:47:26,2025-06-29 21:15:26,UberBlack,604.78,7.18,3.76,Completed
24,7098,1397,5802,6537,2023-08-07 15:26:06,2023-08-07 15:36:06,UberX,199.45,16.89,4.6,Completed
25,7260,8399,1287,4768,2024-04-08 14:39:37,2024-04-08 15:16:37,UberPool,266.85,19.11,3.96,Cancelled
26,68,489,7606,4789,2023-12-11 00:01:17,2023-12-11 00:27:17,UberPool,661.16,15.02,4.2,Completed
27,6969,4795,5675,1643,2025-01-16 00:14:41,2025-01-16 00:51:41,UberPool,207.48,5.65,4.64,Cancelled
28,3995,3640,7104,3226,2025-03-08 11:31:59,2025-03-08 11:38:59,UberBlack,299.39,7.71,4.53,Completed
29,943,6515,7426,957,2025-03-11 15:50:24,2025-03-11 16:06:24,UberPool,670.47,1.44,4.58,Completed
30,744,6901,6334,9431,2023-10-06 18:08:37,2023-10-06 18:35:37,UberPool,64.46,14.52,4.14,Cancelled
31,8464,6801,6714,6103,2024-04-17 09:18:06,2024-04-17 09:45:06,UberBlack,694.64,4.97,4.08,No Show
32,4453,8073,1758,4255,2024-06-21 18:46:16,2024-06-21 18:55:16,UberPool,185.48,1.27,4.63,Completed
33,7219,9280,8527,4646,2023-12-25 08:26:35,2023-12-25 09:03:35,UberPool,682.84,12.08,4.66,Completed
