vehicle_id,driver_id,make,model,year,license_plate,vehicle_type,vehicle_category,capacity,created_at
1,2,Hero,Apache,2019,MH89AB9427,UberX,Bike,2,2025-06-17 10:53:49
2,6,Piaggio,Ape,2020,MH22AB4187,UberX,Auto,6,2025-01-07 21:59:55
3,11,Toyota,Ertiga,2023,MH15AB1714,UberPool,Car,5,2024-06-18 11:10:34
4,12,Bajaj,Ape,2017,MH18AB2371,UberX,Auto,2,2022-10-15 21:39:05
5,13,Toyota,Swift,2020,MH47AB9378,UberBlack,Car,1,2024-08-22 07:18:40
6,15,TVS,Ape,2017,MH65AB9903,UberPool,Auto,5,2023-01-19 20:59:46
7,17,Royal Enfield,Apache,2015,MH23AB2797,UberBlack,Bike,2,2025-04-19 22:59:38
8,20,TVS,Activa,2023,MH17AB7380,UberPool,Bike,2,2022-10-13 23:15:03
9,21,Bajaj,Splendor,2015,MH59AB3910,UberBlack,Bike,2,2023-04-01 05:22:43
10,22,TVS,King,2023,MH71AB5006,UberPool,Auto,5,2025-04-23 09:08:31
11,25,Royal Enfield,Classic 350,2019,MH61AB6092,UberBlack,Bike,2,2022-10-05 16:19:18
12,28,Honda,WagonR,2017,MH37AB5852,UberBlack,Car,2,2023-04-05 00:21:56
13,30,Honda,Dzire,2021,MH28AB3933,UberX,Car,2,2025-05-01 07:23:47
14,31,Maruti,Innova,2016,MH15AB5658,UberX,Car,5,2023-07-08 11:08:16
15,33,Honda,Pulsar,2016,MH46AB8956,UberBlack,Bike,2,2023-10-21 08:35:52
16,34,Piaggio,RE,2016,MH70AB8315,UberX,Auto,4,2025-03-05 15:32:57
17,37,Piaggio,Ape,2019,MH83AB9631,UberX,Auto,6,2023-05-09 14:09:26
18,38,Honda,Ertiga,2018,MH24AB1326,UberX,Car,2,2024-02-22 02:01:49
19,42,Royal Enfield,Classic 350,2015,MH98AB3754,UberBlack,Bike,2,2022-10-07 11:12:49
20,44,Maruti,Swift,2020,MH35AB3642,UberBlack,Car,3,2025-03-12 16:11:45
21,45,Honda,WagonR,2018,MH22AB1063,UberPool,Car,6,2025-07-17 12:23:11
22,46,Hyundai,Dzire,2019,MH41AB9674,UberX,Car,5,2024-04-21 22:17:03
23,47,Bajaj,King,2023,MH98AB3651,UberPool,Auto,5,2022-12-11 18:02:53
24,49,Honda,i20,2015,MH17AB8390,UberPool,Car,5,2024-12-04 22:22:41
25,50,TVS,RE,2022,MH65AB4998,UberX,Auto,2,2023-07-25 07:20:54
26,51,Bajaj,Ape,2021,MH96AB4339,UberX,Auto,4,2022-09-02 01:30:27
27,53,Hero,Activa,2020,MH91AB2868,UberBlack,Bike,2,2023-07-29 20:44:44
28,56,TVS,RE,2021,MH68AB2716,UberX,Auto,4,2024-10-05 09:31:25
29,58,TVS,RE,2015,MH19AB4110,UberX,Auto,6,2024-05-10 00:15:57
30,59,Bajaj,RE,2018,MH87AB3496,UberX,Auto,6,2023-05-02 07:22:17
31,60,Piaggio,Ape,2018,MH54AB4061,UberPool,Auto,6,2024-12-04 15:35:22
32,62,Piaggio,RE,2023,MH71AB6330,UberBlack,Auto,6,2025-01-24 17:42:24
33,64,Bajaj,King,2022,MH73AB7318,UberX,Auto,6,2024-12-22 10:22:40
34,65,Tata,Ertiga,2020,MH84AB3736,UberX,Car,6,2023-02-06 00:48:19
35,66,Piaggio,RE,2019,MH41AB2229,UberBlack,Auto,2,2024-12-24 06:57:24
36,70,Honda,Classic 350,2021,MH24AB8547,UberBlack,Bike,2,2025-03-16 20:34:39
37,72,Bajaj,King,2021,MH84AB9736,UberBlack,Auto,2,2025-03-09 17:22:39
38,74,Piaggio,King,2020,MH94AB9150,UberX,Auto,6,2025-03-01 02:37:01
39,78,Bajaj,Ape,2017,MH99AB7402,UberPool,Auto,3,2023-07-30 18:26:42
40,80,TVS,Ape,2021,MH31AB6798,UberBlack,Auto,1,2023-04-09 23:10:09
41,82,Hyundai,WagonR,2018,MH49AB9310,UberBlack,Car,5,2024-11-27 23:36:08
42,84,Hyundai,Innova,2018,MH87AB5470,UberBlack,Car,4,2023-09-08 02:32:20
43,85,Piaggio,RE,2022,MH48AB3236,UberBlack,Auto,5,2022-10-10 16:47:00
44,86,Tata,Innova,2022,MH28AB7750,UberPool,Car,5,2022-10-29 17:00:15
45,97,Hero,Classic 350,2021,MH72AB1353,UberBlack,Bike,2,2024-07-24 15:30:56
46,99,Honda,i20,2022,MH49AB9159,UberPool,Car,5,2024-10-09 08:46:07
47,100,Honda,Activa,2019,MH61AB5518,UberX,Bike,2,2023-03-08 20:58:05
48,103,Bajaj,Ape,2023,MH48AB2843,UberPool,Auto,4,2024-05-10 05:42:25
49,104,Hyundai,WagonR,2023,MH90AB6625,UberX,Car,4,2025-06-03 04:54:48
50,107,Piaggio,Ape,2023,MH23AB7239,UberPool,Auto,5,2025-04-21 18:59:18
51,110,Bajaj,King,2019,MH50AB1161,UberBlack,Auto,2,2025-03-04 12:46:03
52,111,Piaggio,Ape,2021,MH11AB6352,UberX,Auto,1,2023-06-24 11:31:40
53,112,Toyota,WagonR,2017,MH68AB1640,UberPool,Car,4,2022-11-29 07:26:24
54,114,Honda,Activa,2015,MH12AB9918,UberX,Bike,2,2025-06-25 23:13:27
55,118,Honda,Apache,2020,MH76AB2710,UberX,Bike,2,2023-07-08 00:03:50
56,119,Honda,i20,2023,MH34AB1674,UberPool,Car,4,2023-04-27 01:46:44
57,120,Honda,Activa,2018,MH89AB8761,UberPool,Bike,2,2023-09-10 14:23:12
58,123,Bajaj,Ape,2020,MH63AB4875,UberX,Auto,2,2023-01-14 20:17:12
59,124,TVS,Splendor,2015,MH10AB4487,UberX,Bike,2,2025-02-06 01:03:19
60,125,TVS,Ape,2021,MH96AB7607,UberX,Auto,5,2023-01-03 19:51:40
61,130,TVS,Ape,2018,MH12AB6856,UberPool,Auto,3,2022-11-05 16:11:24
62,135,Honda,Innova,2018,MH66AB9869,UberBlack,Car,3,2025-04-22 10:42:04
63,138,Royal Enfield,Activa,2015,MH74AB8861,UberBlack,Bike,2,2022-10-24 17:22:35
64,139,Maruti,i20,2022,MH30AB7790,UberBlack,Car,1,2025-06-27 22:48:19
65,142,Maruti,Ertiga,2018,MH64AB7100,UberBlack,Car,1,2023-05-07 18:14:09
66,143,Toyota,Innova,2019,MH48AB5129,UberX,Car,5,2023-02-20 11:38:07
67,144,Bajaj,King,2022,MH45AB6618,UberPool,Auto,5,2024-01-23 10:13:00
68,148,TVS,Pulsar,2019,MH14AB7190,UberX,Bike,2,2025-02-03 04:53:50
69,149,Maruti,Innova,2020,MH88AB8146,UberPool,Car,2,2025-07-14 17:15:09
70,151,Royal Enfield,Pulsar,2017,MH33AB3046,UberBlack,Bike,2,2023-01-03 10:22:57
71,152,Hyundai,Dzire,2018,MH91AB5831,UberPool,Car,1,2024-05-12 22:23:41
72,153,Royal Enfield,Apache,2022,MH59AB5973,UberBlack,Bike,2,2023-07-20 04:38:21
73,155,TVS,Apache,2018,MH86AB8161,UberPool,Bike,2,2023-06-29 11:45:18
74,159,Maruti,Dzire,2023,MH38AB6120,UberX,Car,4,2025-07-26 17:31:47
75,162,Toyota,Innova,2020,MH54AB4574,UberX,Car,2,2023-09-13 07:53:14
76,164,Piaggio,RE,2015,MH41AB7461,UberX,Auto,6,2024-01-09 14:16:08
77,166,Maruti,Swift,2022,MH40AB3345,UberBlack,Car,4,2023-06-29 02:50:13
78,167,Bajaj,Classic 350,2019,MH78AB9938,UberBlack,Bike,2,2023-11-12 01:44:59
79,168,Honda,Innova,2023,MH51AB6263,UberBlack,Car,3,2023-05-16 18:55:17
80,169,Toyota,i20,2019,MH31AB6673,UberX,Car,6,2025-04-26 10:08:56
81,175,Hero,Classic 350,2016,MH74AB6368,UberPool,Bike,2,2023-01-23 14:52:49
82,179,Honda,Splendor,2022,MH18AB1896,UberPool,Bike,2,2022-09-03 20:22:59
83,183,Honda,Ertiga,2015,MH56AB6054,UberBlack,Car,1,2024-03-08 06:02:21
84,186,Royal Enfield,Classic 350,2019,MH44AB8726,UberX,Bike,2,2024-02-29 20:33:44
85,187,Bajaj,Apache,2017,MH48AB8182,UberBlack,Bike,2,2024-11-23 19:02:38
86,189,Piaggio,Ape,2019,MH24AB8557,UberX,Auto,3,2025-07-22 20:10:52
87,192,TVS,Ape,2022,MH35AB5259,UberPool,Auto,5,2025-02-23 06:40:38
88,193,Maruti,Innova,2018,MH72AB9364,UberBlack,Car,1,2023-01-20 22:48:48
89,194,Toyota,Swift,2023,MH37AB7902,UberX,Car,1,2022-11-23 08:33:20
90,195,Bajaj,RE,2023,MH86AB3985,UberPool,Auto,1,2025-03-11 23:54:24
91,196,TVS,Ape,2023,MH32AB2119,UberPool,Auto,2,2024-11-08 22:57:39
92,199,Honda,Classic 350,2018,MH11AB5673,UberBlack,Bike,2,2023-08-03 14:04:39
93,201,Bajaj,Apache,2016,MH50AB3974,UberX,Bike,2,2023-02-11 09:43:24
94,202,TVS,Classic 350,2020,MH94AB4484,UberPool,Bike,2,2022-10-11 22:55:38
95,208,Bajaj,King,2023,MH16AB2663,UberBlack,Auto,5,2023-07-24 15:57:21
96,209,Hyundai,WagonR,2022,MH34AB5792,UberPool,Car,4,2022-10-28 00:07:02
97,211,Hero,Classic 350,2022,MH58AB3663,UberBlack,Bike,2,2025-07-04 16:12:14
98,212,Honda,Splendor,2019,MH38AB4439,UberPool,Bike,2,2024-02-10 16:41:06
99,213,Honda,i20,2019,MH58AB8045,UberPool,Car,3,2023-03-24 22:12:24
100,215,Honda,i20,2015,MH98AB1605,UberX,Car,1,2024-07-08 03:21:27
101,217,Piaggio,Ape,2020,MH71AB4733,UberBlack,Auto,1,2022-09-06 03:32:19
102,219,Bajaj,Ape,2020,MH30AB2559,UberBlack,Auto,1,2023-06-15 18:21:04
103,220,Piaggio,King,2023,MH47AB5710,UberX,Auto,6,2023-09-01 11:35:48
104,221,Royal Enfield,Apache,2023,MH76AB5874,UberBlack,Bike,2,2023-09-06 12:38:34
